Feature,Date de début,Date de livraison,Description détaillée,Priorité,Responsable,Statut,[Projets_IA]
Changer tout le dashboard,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
"Changer le mail compte rendu (inclure le compte rendu dans le mail, pas en p.j)",,"February 15, 2024",Avec lien,🔥🔥,Florian,En cours,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Problème bouton envoyer après réception,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Gérer erreur upload fichier 130MB,,"February 15, 2024",ERR_HTTP2_PROTOCOL_ERROR,🔥,Florian,A faire,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Faire page prix complet et fonctionnalités,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
"Corriger ""Invalid date"" et erreur non indiquée",,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Home: rajouter chiffre qui défile,,"February 15, 2024","Plus de 250,802 hours transcribed",🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Rajouter page Mes transcripts,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Faire une FAQ complète,,"February 15, 2024",Questions et réponses,🔥🔥,Florian,En cours,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Notification pour transcription prête,,"February 15, 2024",Envoi email avec lien,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Vérifier modification adresse mail et impact historique,,"February 15, 2024",Plutôt V2 avec token ID unique,🔥,Florian,A faire,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
"Passer paramètre ""edition""",,"February 15, 2024","Free, Pro, Ent",🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Refaire toute la homepage,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Intégrer le code dans Webflow pour cacher,,"February 15, 2024",,🔥,Florian,A faire,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Faire vidéo prez outil,,,,🔥🔥🔥,Florian,A faire,
"Changer de plan payant (passé mensuel à annuel) ",,,https://docs.memberstack.com/hc/en-us/articles/7421781379099-How-to-Change-a-Member-s-Plan,🔥🔥,,Terminé,
"Valider les plans, souscription KawanSoft ",,,,🔥🔥🔥,,,
Limite 3 audios par jour. API de consommation pour Webflow.,,"February 19, 2024",,🔥🔥🔥,,Terminé,
Indiquer free: •  Durée de stockage 48h  Purge automatique.,,,,,,Terminé,
"Analyser les résultats en fonction audio pas les même … exemple Oclock! ",,,,,,Terminé,
Ajout icon AUdio et messages,,,,,,Terminé,
"Ajouter un message entre le chargement réception audio (lottie), pour bloquer le faite d’appuyer sur enovyer aussi",,,,,,Terminé,
"Résoudre le problème ",,,,,,,
"Bouton actualiser pour savoir si transcript prêt ? ",,,,,,Terminé,
"Message d’erreur a afficher si mot de passe incorrect ! ",,,,,,Terminé,
http://agilotext.com redirection à faire,,,,,,Terminé,
"Donner 14 jours gratuit pour tester ! ",,,,,,Terminé,
Gérer redirection signup google,,,,,,Terminé,
"Audio trop long rajouter message ? ",,,,,,Terminé,
Corriger le scroll qui ne marche pas !!!,,,,,,Terminé,
Bug text copié,,,,,,Terminé,
Pro: ne pas oublier de faire un download link (sécurisé ou non) pour que le user distribue facilement les transcripts et resumés.,,,,,,Terminé,
"Gérer tous les emails Memberstack (achat email ?!!) ",,,,,,A faire,
Audio format not supported,,,,,,Terminé,
Pub comme Haribo,,,,,,,
Ajouter supprimer compte (cancel),,,,,,Terminé,
Pro - Traduction et lien de diffussion !,,,,,,En cours,
"Créer des coupons ",,,,,,Terminé,
Rajouter Option Anonymiser,,,,🔥🔥,,A faire,
Fonctionnalité : Intégration Automatique d'Agilotext aux Réunions en Ligne,,,"Développer une fonctionnalité permettant à Agilotext de s'intégrer automatiquement aux services de réunions en ligne (comme Google Meet, Zoom, Microsoft Teams) via les comptes utilisateurs. Cette intégration inclurait la participation automatique aux réunions planifiées (via les calendriers des utilisateurs), l'enregistrement audio des réunions, et la transcription de cet audio. Les transcriptions seraient ensuite stockées et accessibles sur le compte Agilotext de l'utilisateur.",🔥🔥🔥,,A faire,
"Résumé a envoyer dans le mail - Faire feature cocher ou non ! ",,,,🔥🔥🔥,,Terminé,
Différenciation des intervenants par couleur,,,,🔥🔥🔥,,,
Différenciation des intervenants par sauts de ligne,,,,🔥🔥,,Terminé,
Amélioration de la précision de transcription,,,,🔥🔥🔥,,En cours,
Mise en place de notifications pour les mises à jour,,,,🔥,,,
" Intégration d'Agilotext avec des outils tiers via Rollout",,,"Rollout est une alternative open source à Zapier, permettant d'ajouter des intégrations natives à notre produit SaaS, entièrement personnalisables et sous notre propre marque. Cette fonctionnalité maximisera l'adoption du produit et minimisera les erreurs utilisateur en fournissant une expérience d'intégration transparente avec des plateformes comme Notion et HubSpot. Rollout offre des composants UI prêts à l'emploi que nous pouvons intégrer directement, ainsi que des fonctionnalités pour personnaliser, développer et étendre les intégrations selon nos besoins.Lien pour plus d'informations : https://rollout.com/",🔥🔥🔥,Florian,A faire,
Permettre de choisir si Oui ou Non je veux le compte rendu (cela nous coutera moins chère),,,,🔥🔥,,Terminé,
Personnaliser les templates des comptes rendus,,,,🔥🔥🔥,,Terminé,
Recharger le CR car pas assez pertinent (1 seul fois en Pro),,,,🔥🔥🔥,,A faire,
Intégration dans Zapier,,"July 12, 2024",,🔥🔥🔥,,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
RGPD Email à ne pas envoyer,,"March 31, 2025","IMPORTANT Retour avocat: ne pas rec vroi de mail, cocher dans mes paramètres ! ",🔥🔥🔥,,Terminé,
Activation du modèle Mistral AI,,,"Disponible uniquement pour les comptes Business / Entreprise. Option souveraine / française, alternative à OpenAI pour les prompts et résumés.",🔥🔥🔥,,Terminé,
Cryptage renforcé des prompts et résultats,,,Vérifier si les prompts et outputs sont chiffrés côté client ou en transit. Ajouter un chiffrement explicite si exigé par des clients sensibles (ex : avocats).,🔥🔥🔥,,A faire,
Option de désactivation de l’envoi d’e-mails,,,"Déjà en place en partie, mais à rendre plus visible dans l’interface utilisateur. Permet de désactiver les notifications mail automatiques (respect RGPD strict).",🔥🔥🔥,,Terminé,
Ajout de documents de référence dans les prompts,,,"Permettre d’uploader un modèle (ex : PV d’AG, modèle de contrat) comme pièce jointe associée au prompt.",🔥🔥🔥,,A faire,
Anonymisation automatique des documents PDF,,,"OCR + détection des noms / entités. Dev à prioriser pour usages juridiques, inspiré des fonctions proposées par Naix.",🔥🔥🔥,,A faire,
"Changement plans à vérifier (bug Notaire?) ⇒ compte existant ? ",,,,🔥🔥🔥,,Terminé,
Guide - Aide tour des features (rapport UX Key),,,,🔥🔥🔥,,En cours,
"cahnger conditions générales end isant interdit de partager compte ! ",,,,🔥🔥🔥,,Terminé,
"Ajouter business feature cocher tics de language oui ou non ? ",,,,🔥🔥🔥,,A faire,
Super compte rendu ⇒ Business (même 40 pages !),,,,🔥🔥🔥,,A faire,
Ajouter pièce jointe pour chaque lancement CR,,,,🔥🔥🔥,,A faire,
📘 Fonctionnalité complémentaire – Pop-up contextuelle à l’activation de l'enregistrement,,,,🔥🔥🔥,,A faire,
Passer en business quand on est en free ??,,,,🔥🔥🔥,,A faire,
"Onboarding à faire - Instructions personnalisées & correction automatique des noms + ","August 29, 2025",,,🔥🔥🔥,,En cours,
"Auto‑prompt recommender !!! ",,,,🔥🔥🔥,,A faire,
Glossaire & orthographe parfaite,,,,🔥🔥🔥,,Terminé,
Speaker Intelligence dynamique,,,,,,A faire,
Templates & sorties flexibles,,,,,,A faire,
Newsletter à faire,,,,🔥🔥🔥,,En cours,
SEO : Rajouter une section et améliorer la FAQ - Home,,,,🔥🔥🔥,,Terminé,
"Revoir tout le process création article !! ",,"August 6, 2025",,🔥🔥🔥,,En cours,
"Interroger son transcript et discuter exemple Gauthier ",,,,🔥🔥🔥,,A faire,
"Bug compte rendu téléphone ! ",,,,🔥🔥🔥,,A faire,
"Réfléchir à la fonctionnalité Krips qui prend en fond l’uadio/ vidéo etc… ",,,,🔥🔥🔥,,En cours,
CGU/ToS à la 1ʳᵉ connexion (bloquant),"August 28, 2025",,"🔥 Must. Écran unique “J’accepte” (horodaté, IP/UA). Memberstack terms_accepted_at. Gating global si vide.",🔥🔥🔥,,A faire,
Barre “Rechercher / Remplacer” (Tiptap),"September 1, 2025",,"🔥 Must. Barre persistante dans l’éditeur transcript : recherche, suivant/précédent, options (casse/mot entier/diacritiques/regex), Portée (tout/sélection/temps/locuteur), Remplacer / Tout remplacer, Undo, journal des remplacements, propagation CR/exports, suggestion glossaire.",,,,
Renommer les locuteurs (bulk),,,"🔥. Action “Renommer Speaker A → Gérald (15 occurrences)” + recalcul des en-têtes, métadonnées & exports.",,,,
Q&A conversationnel sur transcript,,,"🔥. Panneau latéral : questions suggérées (Actions/Décisions/Dates/Noms), prompt libre, citations temporelles cliquables. Associer transcript_id aux requêtes (API Nicolas).",,,,
Desktop Electron — MVP visio,,,"🔥. Win/Mac, sélection des sources, compteur, Start/Stop, upload sendAudio. UI minimaliste, un seul écran (pas d’allers-retours). Note “bêta”.",,,,
Upsell Free non intrusif,"September 1, 2025",,"🔥. Interstitiel après login (pas avant Record) : Annuel pré-sélectionné, lien “Continuer avec mes 6h gratuites”. Bandeau quota dynamique “il vous reste Xh” + nudges 80/90/100%.",,,,
Tableau “Offres & limites (heures/mois)” + €/h,"August 29, 2025",,🔥. Rendre l’avantage 34h vs 20h visible (cartes pricing + page comparatif + paywall). €/h calculé.,,,,
Onboarding express (profil + glossaire + template),"September 1, 2025",,🔥. 4 étapes maximum : (1) Bienvenue & source (d’où venez-vous ?) (2) Nom/Prénom/Société/Participants fréquents (3) Glossaire 5–10 termes (4) Template par défaut + langue → Lancer. Persistance Memberstack & injection prompts (cf. ta spec).,,,,
Écran “Lancement rapide”,,,⚡. À la fin de l’onboarding : deux grosses cartes “Enregistrer maintenant” / “Uploader un audio” (zéro friction).,,,,
Page “Conformité & consentement”,,,"⚡. Explication claire (hébergement FR, Mistral, anonymisation, rétention, DPA). Lien depuis rappel sous Record & pricing.",,,,
Badge “Souverain FR (Mistral)”,,,"⚡. Badge + tooltip sur Business, repris dans le rappel consentement.",,,,
Exports sûrs (diffs & historique),,,"⚡. DOCX/PDF avec track-changes optionnel (montrer les remplacements), export “anonymisé” si activé.",,,,
Règles de nettoyage réutilisables,,,"⚡. Sauvegarder un set “Nettoyage” (ex : “OK → D’accord”, “uh → euh”), applicable à un transcript ou global compte/équipe.",,,,
Amélioration Wordboost V2,,"August 28, 2025",,🔥🔥🔥,,En cours,
"Minuscule ⇒ wordboost - Revient en minuscule tout pourquoi ? ",,"September 9, 2025",,🔥🔥🔥,,En cours,
Redesigner la page Mes transcriptions + features + Editor,"September 12, 2025",,,🔥🔥🔥,,Terminé,
"Sauvegarde 30 jours ! ",,,,,,,
"URGENT Concurrencer DicteAI !!! ",,"September 23, 2025",,🔥🔥🔥,,A faire,
Marketing : conversion & activation suite onboarding,,"September 24, 2025",,🔥🔥🔥,,En cours,
Changer la traduction : Conserver le meme language ⇒ mauvais !!,,,,🔥🔥🔥,,A faire,
Créer application - Gérer connexion via DOM Memberstack,,,,,,,
"Envoyer audio via Make. N8N ⇒ lien ","October 16, 2025","October 8, 2025","Automatisation de A à Z ! ",🔥🔥🔥,,A faire,
Auth sur agilotext uniquement - Cloudflare reverse-proxy,,"October 3, 2025",,🔥🔥🔥,,En cours,
"Retour Avocat - Spécial feature : option abonnement avocat pour dicter ! ","October 15, 2025","October 15, 2025","Rajouter une case à cocher mise en forme avocat (mail, courriel etc…) ! Et facturer ! avec pris en compte audio trop rapide et score de confiance !",🔥🔥🔥,,En cours,
Fiabilité/Confiance de transcription” (avec AssemblyAI),,"October 7, 2025",,🔥🔥🔥,,A faire,
Page Agilotext - Tarifs etc… nouvelle section,,"October 14, 2025",,🔥🔥🔥,,A faire,
Erreur formulaire - Fiabilité d’envoi & reprise automatique,"October 15, 2025",,,🔥🔥🔥,,Terminé,
Features Michaël - Octobre 2025,,"October 22, 2025",,🔥🔥🔥,,A faire,
Agilotext Pulse™ - voir en 3 secondes ce qui compte dans la conversation.,,"October 22, 2025","Un ensemble de micro-graphiques intelligents + nudges IA qui se personnalise selon le persona et le use case (tes PINS). C’est compact, contextuel, actionnable, et ça s’intègre pile dans votre UI actuelle (rail + barre d’outils + onglets).",🔥🔥🔥,,A faire,
"Super Assistant IA - Emotion + infos ",,"October 11, 2025",,🔥🔥🔥,,En cours,
Architecture recommandée Agilotext - Transcript,,"October 20, 2025",,🔥🔥🔥,,En cours,
Spécification Agilotext v1 — Transcript uniquement,,"October 21, 2025",,🔥🔥🔥,,En cours,
Nouveau site - Design (HDS a mettre en avant),"October 29, 2025",,,🔥🔥🔥,,A faire,
,,,,🔥🔥🔥,,,
"IMPORTANT rajouter date pour transcription et compte rendu + variables nom prénom et onboarding !! ",,"November 19, 2025",,🔥🔥🔥,Nicolas de Pomereu,A faire,